                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    138,                0.78936,                0.92516,                  1.255,                0.83618,                0.78255,                0.85608,                0.54918,                 1.2591,                0.80933,                  1.642,               0.005512,               0.005512,               0.005512
                    139,                0.78964,                0.93548,                 1.2595,                 0.8422,                0.77487,                0.85615,                0.54919,                 1.2593,                0.81037,                 1.6421,               0.005479,               0.005479,               0.005479
                    140,                0.79582,                0.94114,                 1.2622,                0.84404,                0.77487,                0.85607,                0.54868,                 1.2581,                 0.8107,                 1.6403,               0.005446,               0.005446,               0.005446
                    141,                0.79956,                0.94071,                 1.2614,                0.84438,                  0.774,                  0.856,                0.54898,                 1.2594,                0.81039,                 1.6419,               0.005413,               0.005413,               0.005413
                    142,                0.80876,                0.94757,                 1.2671,                0.84496,                0.77505,                0.85657,                0.54866,                 1.2602,                0.81125,                 1.6429,                0.00538,                0.00538,                0.00538
                    143,                0.80897,                0.95129,                 1.2684,                0.84561,                 0.7754,                0.85657,                0.54917,                 1.2607,                0.81243,                 1.6429,               0.005347,               0.005347,               0.005347
                    144,                0.80333,                 0.9539,                 1.2649,                0.83454,                0.78337,                0.85719,                0.54902,                 1.2597,                0.81398,                 1.6412,               0.005314,               0.005314,               0.005314
                    145,                0.81464,                0.96722,                 1.2738,                0.83624,                0.77988,                0.85659,                0.54914,                 1.2592,                0.81461,                 1.6406,               0.005281,               0.005281,               0.005281
                    146,                0.81365,                0.95659,                 1.2729,                0.83692,                0.77764,                0.85547,                0.54924,                 1.2598,                0.81453,                 1.6405,               0.005248,               0.005248,               0.005248
                    147,                0.81823,                0.95667,                 1.2717,                0.83599,                0.78519,                0.85655,                0.55002,                 1.2595,                0.81581,                 1.6402,               0.005215,               0.005215,               0.005215
                    148,                0.81556,                0.96772,                 1.2716,                0.83458,                0.78734,                0.85709,                0.54954,                 1.2591,                0.81576,                 1.6401,               0.005182,               0.005182,               0.005182
                    149,                0.81997,                0.96785,                 1.2764,                0.83225,                0.78742,                0.85711,                0.54971,                 1.2601,                0.81583,                 1.6413,               0.005149,               0.005149,               0.005149
                    150,                 0.8149,                0.95617,                 1.2692,                0.83289,                0.78856,                 0.8574,                0.55031,                 1.2602,                0.81581,                 1.6416,               0.005116,               0.005116,               0.005116
                    151,                 0.8112,                0.96518,                 1.2729,                 0.8368,                0.78615,                0.85792,                0.54971,                  1.261,                0.81484,                 1.6418,               0.005083,               0.005083,               0.005083
                    152,                0.81446,                0.95483,                 1.2707,                0.83012,                0.79719,                0.85784,                0.55024,                 1.2605,                0.81542,                 1.6407,                0.00505,                0.00505,                0.00505
                    153,                0.80894,                0.95251,                 1.2653,                0.83298,                 0.7925,                0.85767,                0.55009,                 1.2618,                0.81628,                 1.6415,               0.005017,               0.005017,               0.005017
                    154,                0.80816,                0.94993,                 1.2681,                0.83445,                0.79209,                0.85797,                0.55025,                 1.2625,                0.81761,                 1.6425,               0.004984,               0.004984,               0.004984
